Initializing environment: ALE/Pong-v5
Atari detected. State shape after preprocessing: (4, 84, 84)
Using device: cuda
Building networks for state shape (4, 84, 84) and 6 actions.
Using Standard Replay Buffer (deque)
Models and logs will be saved in: ./results_task2
Step: 85884, Episode: 88, Reward: -21.00, Epsilon: 0.932
Step: 86873, Episode: 89, Reward: -19.00, Epsilon: 0.931
Step: 87761, Episode: 90, Reward: -21.00, Epsilon: 0.930
Step: 88643, Episode: 91, Reward: -21.00, Epsilon: 0.929
Step: 89529, Episode: 92, Reward: -21.00, Epsilon: 0.928
Step: 90369, Episode: 93, Reward: -21.00, Epsilon: 0.928
Step: 91581, Episode: 94, Reward: -21.00, Epsilon: 0.927
Step: 92701, Episode: 95, Reward: -20.00, Epsilon: 0.926
Step: 93707, Episode: 96, Reward: -20.00, Epsilon: 0.925
Step: 94693, Episode: 97, Reward: -20.00, Epsilon: 0.924
Step: 95702, Episode: 98, Reward: -20.00, Epsilon: 0.923
Step: 96573, Episode: 99, Reward: -20.00, Epsilon: 0.922
Step: 97600, Episode: 100, Reward: -19.00, Epsilon: 0.921
Starting evaluation for 20 episodes...
--- Evaluation Result (Ep 100, Step 97600) ---
Avg Reward over 20 episodes: -16.25 (Duration: 30.84s)
--------------------------------------------------
*** New best model saved: ./results_task2\dqn_pong_vanilla_best.pt ***
Step: 98392, Episode: 101, Reward: -21.00, Epsilon: 0.920
Step: 99263, Episode: 102, Reward: -21.00, Epsilon: 0.920
Step: 100412, Episode: 103, Reward: -19.00, Epsilon: 0.919
Step: 101324, Episode: 104, Reward: -21.00, Epsilon: 0.918
Step: 102264, Episode: 105, Reward: -21.00, Epsilon: 0.917
Step: 103166, Episode: 106, Reward: -21.00, Epsilon: 0.916
Step: 104150, Episode: 107, Reward: -20.00, Epsilon: 0.915
Step: 104961, Episode: 108, Reward: -21.00, Epsilon: 0.915
Step: 105845, Episode: 109, Reward: -21.00, Epsilon: 0.914
Step: 106805, Episode: 110, Reward: -20.00, Epsilon: 0.913
Step: 107871, Episode: 111, Reward: -20.00, Epsilon: 0.912
Step: 108755, Episode: 112, Reward: -21.00, Epsilon: 0.911
Step: 109768, Episode: 113, Reward: -19.00, Epsilon: 0.910
Step: 110655, Episode: 114, Reward: -20.00, Epsilon: 0.909
Step: 111516, Episode: 115, Reward: -20.00, Epsilon: 0.909
Step: 112815, Episode: 116, Reward: -18.00, Epsilon: 0.907
Step: 113607, Episode: 117, Reward: -21.00, Epsilon: 0.907
Step: 114603, Episode: 118, Reward: -19.00, Epsilon: 0.906
Step: 115566, Episode: 119, Reward: -21.00, Epsilon: 0.905
Step: 116437, Episode: 120, Reward: -21.00, Epsilon: 0.904
Step: 117368, Episode: 121, Reward: -20.00, Epsilon: 0.903
Step: 118249, Episode: 122, Reward: -21.00, Epsilon: 0.903
Step: 119309, Episode: 123, Reward: -20.00, Epsilon: 0.902
Step: 120151, Episode: 124, Reward: -21.00, Epsilon: 0.901
Step: 121020, Episode: 125, Reward: -21.00, Epsilon: 0.900
Step: 121900, Episode: 126, Reward: -21.00, Epsilon: 0.899
Step: 122781, Episode: 127, Reward: -21.00, Epsilon: 0.898
Step: 123805, Episode: 128, Reward: -20.00, Epsilon: 0.898
Step: 124677, Episode: 129, Reward: -21.00, Epsilon: 0.897
Step: 125605, Episode: 130, Reward: -21.00, Epsilon: 0.896
Step: 126958, Episode: 131, Reward: -17.00, Epsilon: 0.895
Step: 128080, Episode: 132, Reward: -19.00, Epsilon: 0.894
Step: 129357, Episode: 133, Reward: -18.00, Epsilon: 0.893
Step: 130332, Episode: 134, Reward: -20.00, Epsilon: 0.892
Step: 131463, Episode: 135, Reward: -18.00, Epsilon: 0.891
Step: 132368, Episode: 136, Reward: -21.00, Epsilon: 0.890
Step: 133660, Episode: 137, Reward: -19.00, Epsilon: 0.889
Step: 134497, Episode: 138, Reward: -20.00, Epsilon: 0.888
Step: 135581, Episode: 139, Reward: -19.00, Epsilon: 0.887
Step: 136661, Episode: 140, Reward: -21.00, Epsilon: 0.886
Step: 137589, Episode: 141, Reward: -21.00, Epsilon: 0.885
Step: 138605, Episode: 142, Reward: -19.00, Epsilon: 0.884
Step: 139472, Episode: 143, Reward: -21.00, Epsilon: 0.883
Step: 140403, Episode: 144, Reward: -21.00, Epsilon: 0.883
Step: 141433, Episode: 145, Reward: -19.00, Epsilon: 0.882
Step: 142395, Episode: 146, Reward: -20.00, Epsilon: 0.881
Step: 143551, Episode: 147, Reward: -17.00, Epsilon: 0.880
Step: 144642, Episode: 148, Reward: -21.00, Epsilon: 0.879
Step: 145850, Episode: 149, Reward: -19.00, Epsilon: 0.878
Step: 146742, Episode: 150, Reward: -21.00, Epsilon: 0.877
Starting evaluation for 20 episodes...
--- Evaluation Result (Ep 150, Step 146742) ---
