Using device: cuda
[Ep 103] R=-20.0  Steps=87382  ε=0.0303
[Ep 104] R=-21.0  Steps=88206  ε=0.0294
[Ep 105] R=-21.0  Steps=89030  ε=0.0284
[Ep 106] R=-20.0  Steps=89951  ε=0.0274
[Train 40000] loss=0.0024
[Ep 107] R=-19.0  Steps=90888  ε=0.0264
[Ep 108] R=-21.0  Steps=91712  ε=0.0255
[Ep 109] R=-21.0  Steps=92536  ε=0.0247
[Ep 110] R=-21.0  Steps=93423  ε=0.0238
[Ep 111] R=-21.0  Steps=94303  ε=0.0230
[Ep 112] R=-20.0  Steps=95354  ε=0.0221
[Ep 113] R=-21.0  Steps=96207  ε=0.0213
[Ep 114] R=-20.0  Steps=97138  ε=0.0205
[Ep 115] R=-21.0  Steps=98166  ε=0.0197
[Ep 116] R=-21.0  Steps=99138  ε=0.0190
[Train 50000] loss=0.0020
[Ep 117] R=-20.0  Steps=100393  ε=0.0180
[Ep 118] R=-21.0  Steps=101453  ε=0.0173
[Ep 119] R=-21.0  Steps=102277  ε=0.0167
*** (avg_R=-20.95) ***
[Ep 120] R=-20.0  Steps=103384  ε=0.0160
[Ep 121] R=-19.0  Steps=104881  ε=0.0151
[Ep 122] R=-19.0  Steps=106015  ε=0.0144
[Ep 123] R=-21.0  Steps=106955  ε=0.0139
[Ep 124] R=-20.0  Steps=108118  ε=0.0132
[Ep 125] R=-20.0  Steps=109507  ε=0.0125
[Train 60000] loss=0.0012
[Ep 126] R=-14.0  Steps=111310  ε=0.0116
[Ep 127] R=-20.0  Steps=112780  ε=0.0110
[Ep 128] R=-21.0  Steps=114081  ε=0.0104
[Ep 129] R=-19.0  Steps=115646  ε=0.0100
[Ep 130] R=-19.0  Steps=117084  ε=0.0100
[Ep 131] R=-20.0  Steps=118190  ε=0.0100
[Ep 132] R=-18.0  Steps=119705  ε=0.0100
[Train 70000] loss=0.0027
[Ep 133] R=-20.0  Steps=121146  ε=0.0100
[Ep 134] R=-21.0  Steps=122228  ε=0.0100
[Ep 135] R=-19.0  Steps=123804  ε=0.0100
[Ep 136] R=-19.0  Steps=125320  ε=0.0100
[Ep 137] R=-17.0  Steps=126822  ε=0.0100
[Ep 138] R=-14.0  Steps=128731  ε=0.0100
[Train 80000] loss=0.0032
[Ep 139] R=-19.0  Steps=130441  ε=0.0100
*** (avg_R=-17.60) ***
*** New best model saved: LAB5_B11017015_task3_pong_130441.pt ***
[Ep 140] R=-16.0  Steps=132229  ε=0.0100
[Ep 141] R=-19.0  Steps=133873  ε=0.0100
[Ep 142] R=-16.0  Steps=135663  ε=0.0100
[Ep 143] R=-19.0  Steps=137107  ε=0.0100
[Ep 144] R=-16.0  Steps=138752  ε=0.0100
[Train 90000] loss=0.0029
[Ep 145] R=-21.0  Steps=140277  ε=0.0100
[Ep 146] R=-17.0  Steps=141844  ε=0.0100
[Ep 147] R=-17.0  Steps=143365  ε=0.0100
[Ep 148] R=-12.0  Steps=145312  ε=0.0100
[Ep 149] R=-18.0  Steps=146788  ε=0.0100
[Ep 150] R=-17.0  Steps=148666  ε=0.0100
[Train 100000] loss=0.0018
[Ep 151] R=-17.0  Steps=150434  ε=0.0100
[Ep 152] R=-15.0  Steps=152190  ε=0.0100
[Ep 153] R=-16.0  Steps=154226  ε=0.0100
[Ep 154] R=-15.0  Steps=156100  ε=0.0100
[Ep 155] R=-18.0  Steps=157795  ε=0.0100
[Ep 156] R=-15.0  Steps=159384  ε=0.0100
[Train 110000] loss=0.0049
[Ep 157] R=-16.0  Steps=161132  ε=0.0100
[Ep 158] R=-11.0  Steps=163128  ε=0.0100
[Ep 159] R=-15.0  Steps=164933  ε=0.0100
*** (avg_R=-15.20) ***
*** New best model saved: LAB5_B11017015_task3_pong_164933.pt ***
[Ep 160] R=-14.0  Steps=166852  ε=0.0100
[Ep 161] R=-13.0  Steps=168909  ε=0.0100
[Train 120000] loss=0.0030
[Ep 162] R=-14.0  Steps=170836  ε=0.0100
[Ep 163] R=-14.0  Steps=172666  ε=0.0100
[Ep 164] R=-15.0  Steps=174685  ε=0.0100
[Ep 165] R=-13.0  Steps=176683  ε=0.0100
[Ep 166] R=-13.0  Steps=178678  ε=0.0100
[Train 130000] loss=0.0045
[Ep 167] R=-16.0  Steps=180490  ε=0.0100
[Ep 168] R=-18.0  Steps=182093  ε=0.0100
[Ep 169] R=-14.0  Steps=184054  ε=0.0100
[Ep 170] R=-15.0  Steps=186006  ε=0.0100
[Ep 171] R=-17.0  Steps=187821  ε=0.0100
[Train 140000] loss=0.0045
[Ep 172] R=-11.0  Steps=190058  ε=0.0100
[Ep 173] R=-14.0  Steps=192170  ε=0.0100
[Ep 174] R=-18.0  Steps=194027  ε=0.0100
[Ep 175] R=-11.0  Steps=196370  ε=0.0100
[Ep 176] R=-18.0  Steps=198176  ε=0.0100
[Train 150000] loss=0.0010
[Ep 177] R=-14.0  Steps=200329  ε=0.0100
*** model saved: LAB5_B11017015_task3_pong200000.pt ***
[Ep 178] R=-17.0  Steps=202353  ε=0.0100
[Ep 179] R=-14.0  Steps=204440  ε=0.0100
*** (avg_R=-14.85) ***
*** New best model saved: LAB5_B11017015_task3_pong_204440.pt ***
[Ep 180] R=-11.0  Steps=207435  ε=0.0100
[Ep 181] R=-20.0  Steps=209749  ε=0.0100
[Train 160000] loss=0.0031
[Ep 182] R=-17.0  Steps=212024  ε=0.0100
[Ep 183] R=-13.0  Steps=214630  ε=0.0100
[Ep 184] R=-15.0  Steps=216929  ε=0.0100
[Ep 185] R=-11.0  Steps=219784  ε=0.0100
[Train 170000] loss=0.0040
[Ep 186] R=-10.0  Steps=223139  ε=0.0100
[Ep 187] R=-10.0  Steps=226611  ε=0.0100
[Ep 188] R=-13.0  Steps=229685  ε=0.0100
[Train 180000] loss=0.0060
[Ep 189] R=-14.0  Steps=232341  ε=0.0100
[Ep 190] R=-6.0  Steps=236051  ε=0.0100
[Ep 191] R=-13.0  Steps=239023  ε=0.0100
[Train 190000] loss=0.0056
[Ep 192] R=-13.0  Steps=241852  ε=0.0100
[Ep 193] R=-11.0  Steps=244665  ε=0.0100
[Ep 194] R=-11.0  Steps=247673  ε=0.0100
[Train 200000] loss=0.0022
[Ep 195] R=-12.0  Steps=250603  ε=0.0100
[Ep 196] R=-14.0  Steps=253396  ε=0.0100
[Ep 197] R=-10.0  Steps=256659  ε=0.0100
[Ep 198] R=-7.0  Steps=259703  ε=0.0100
[Train 210000] loss=0.0051
[Ep 199] R=-7.0  Steps=263281  ε=0.0100
*** (avg_R=-10.65) ***
*** New best model saved: LAB5_B11017015_task3_pong_263281.pt ***
[Ep 200] R=-9.0  Steps=266347  ε=0.0100
[Train 220000] loss=0.0022
[Ep 201] R=-4.0  Steps=270008  ε=0.0100
[Ep 202] R=-14.0  Steps=272716  ε=0.0100
[Ep 203] R=-7.0  Steps=276264  ε=0.0100
[Ep 204] R=-12.0  Steps=279096  ε=0.0100
[Train 230000] loss=0.0049
[Ep 205] R=-7.0  Steps=283246  ε=0.0100
[Ep 206] R=-11.0  Steps=286955  ε=0.0100
[Train 240000] loss=0.0034
[Ep 207] R=-9.0  Steps=290631  ε=0.0100
[Ep 208] R=-5.0  Steps=293957  ε=0.0100
[Ep 209] R=-13.0  Steps=297169  ε=0.0100
[Train 250000] loss=0.0041
[Ep 210] R=-4.0  Steps=301384  ε=0.0100
[Ep 211] R=-11.0  Steps=305208  ε=0.0100
[Ep 212] R= 3.0  Steps=309205  ε=0.0100
[Train 260000] loss=0.0083
[Ep 213] R=-10.0  Steps=312497  ε=0.0100
[Ep 214] R=-5.0  Steps=316010  ε=0.0100
[Ep 215] R=-11.0  Steps=319026  ε=0.0100
[Train 270000] loss=0.0007
[Ep 216] R=-2.0  Steps=322806  ε=0.0100
[Ep 217] R=-11.0  Steps=326069  ε=0.0100
[Train 280000] loss=0.0025
[Ep 218] R=-2.0  Steps=330498  ε=0.0100
[Ep 219] R= 2.0  Steps=334404  ε=0.0100
*** (avg_R=-4.30) ***
*** New best model saved: LAB5_B11017015_task3_pong_334404.pt ***
