Using device: cuda
[Ep 101] R=-18.0  Steps=90731  ε=0.0500
[Ep 102] R=-20.0  Steps=92093  ε=0.0500
[Ep 103] R=-15.0  Steps=93876  ε=0.0500
[Ep 104] R=-18.0  Steps=95636  ε=0.0500
[Ep 105] R=-19.0  Steps=97395  ε=0.0500
[Ep 106] R=-14.0  Steps=99489  ε=0.0500
[Train 50000] loss=0.0135
[Ep 107] R=-19.0  Steps=101088  ε=0.0500
[Ep 108] R=-16.0  Steps=102875  ε=0.0500
[Ep 109] R=-15.0  Steps=104766  ε=0.0500
[Ep 110] R=-16.0  Steps=106638  ε=0.0500
[Ep 111] R=-18.0  Steps=108209  ε=0.0500
[Train 60000] loss=0.0109
[Ep 112] R=-17.0  Steps=110011  ε=0.0500
[Ep 113] R=-19.0  Steps=111597  ε=0.0500
[Ep 114] R=-19.0  Steps=113205  ε=0.0500
[Ep 115] R=-15.0  Steps=115041  ε=0.0500
[Ep 116] R=-16.0  Steps=116812  ε=0.0500
[Ep 117] R=-18.0  Steps=118486  ε=0.0500
[Train 70000] loss=0.0142
[Ep 118] R=-20.0  Steps=120303  ε=0.0500
[Ep 119] R=-19.0  Steps=122363  ε=0.0500
*** (avg_R=-18.25) ***
*** New best model saved: LAB5_B11017015_task3_pong_122363.pt ***
[Ep 120] R=-17.0  Steps=124106  ε=0.0500
[Ep 121] R=-16.0  Steps=126058  ε=0.0500
[Ep 122] R=-15.0  Steps=128208  ε=0.0500
[Train 80000] loss=0.0039
[Ep 123] R=-17.0  Steps=130092  ε=0.0500
[Ep 124] R=-13.0  Steps=132259  ε=0.0500
[Ep 125] R=-18.0  Steps=134200  ε=0.0500
[Ep 126] R=-17.0  Steps=136330  ε=0.0500
[Ep 127] R=-19.0  Steps=138561  ε=0.0500
[Train 90000] loss=0.0154
[Ep 128] R=-18.0  Steps=140763  ε=0.0500
[Ep 129] R=-18.0  Steps=142778  ε=0.0500
[Ep 130] R=-17.0  Steps=145347  ε=0.0500
[Ep 131] R=-14.0  Steps=147801  ε=0.0500
[Train 100000] loss=0.0107
[Ep 132] R=-13.0  Steps=150371  ε=0.0500
[Ep 133] R=-19.0  Steps=152703  ε=0.0500
[Ep 134] R=-19.0  Steps=154818  ε=0.0500
[Ep 135] R=-15.0  Steps=157649  ε=0.0500
[Train 110000] loss=0.0063
[Ep 136] R=-20.0  Steps=160038  ε=0.0500
[Ep 137] R=-19.0  Steps=162384  ε=0.0500
[Ep 138] R=-19.0  Steps=164688  ε=0.0500
[Ep 139] R=-18.0  Steps=167223  ε=0.0500
*** (avg_R=-18.75) ***
[Ep 140] R=-18.0  Steps=169782  ε=0.0500
[Train 120000] loss=0.0111
[Ep 141] R=-15.0  Steps=172601  ε=0.0500
[Ep 142] R=-18.0  Steps=175179  ε=0.0500
[Ep 143] R=-21.0  Steps=177356  ε=0.0500
[Ep 144] R=-17.0  Steps=179911  ε=0.0500
[Train 130000] loss=0.0052
[Ep 145] R=-15.0  Steps=182493  ε=0.0500
[Ep 146] R=-14.0  Steps=185245  ε=0.0500
[Ep 147] R=-18.0  Steps=187857  ε=0.0500
[Train 140000] loss=0.0054
[Ep 148] R=-16.0  Steps=190380  ε=0.0500
[Ep 149] R=-16.0  Steps=192969  ε=0.0500
[Ep 150] R=-16.0  Steps=195647  ε=0.0500
[Ep 151] R=-17.0  Steps=198528  ε=0.0500
[Train 150000] loss=0.0068
[Ep 152] R=-12.0  Steps=201243  ε=0.0500
*** model saved: LAB5_B11017015_task3_pong200000.pt ***
[Ep 153] R=-19.0  Steps=203744  ε=0.0500
[Ep 154] R=-16.0  Steps=206564  ε=0.0500
[Ep 155] R=-18.0  Steps=209255  ε=0.0500
[Train 160000] loss=0.0050
[Ep 156] R=-14.0  Steps=211977  ε=0.0500
[Ep 157] R=-14.0  Steps=214583  ε=0.0500
[Ep 158] R=-11.0  Steps=217236  ε=0.0500
[Train 170000] loss=0.0015
[Ep 159] R=-12.0  Steps=220172  ε=0.0500
*** (avg_R=-14.80) ***
*** New best model saved: LAB5_B11017015_task3_pong_220172.pt ***
[Ep 160] R=-15.0  Steps=223171  ε=0.0500
[Ep 161] R=-12.0  Steps=225951  ε=0.0500
[Ep 162] R=-14.0  Steps=229110  ε=0.0500
[Train 180000] loss=0.0022
[Ep 163] R=-10.0  Steps=232180  ε=0.0500
[Ep 164] R=-13.0  Steps=234784  ε=0.0500
[Ep 165] R=-10.0  Steps=237440  ε=0.0500
[Train 190000] loss=0.0062
[Ep 166] R=-12.0  Steps=240182  ε=0.0500
[Ep 167] R=-18.0  Steps=242289  ε=0.0500
[Ep 168] R=-14.0  Steps=245073  ε=0.0500
[Ep 169] R=-9.0  Steps=248023  ε=0.0500
[Train 200000] loss=0.0042
[Ep 170] R=-16.0  Steps=250442  ε=0.0500
[Ep 171] R=-13.0  Steps=253113  ε=0.0500
[Ep 172] R=-9.0  Steps=256122  ε=0.0500
[Ep 173] R=-13.0  Steps=258942  ε=0.0500
[Train 210000] loss=0.0071
[Ep 174] R=-10.0  Steps=261895  ε=0.0500
[Ep 175] R=-13.0  Steps=264559  ε=0.0500
[Ep 176] R=-17.0  Steps=266539  ε=0.0500
[Ep 177] R=-11.0  Steps=269612  ε=0.0500
[Train 220000] loss=0.0050
[Ep 178] R=-13.0  Steps=272039  ε=0.0500
[Ep 179] R=-5.0  Steps=275362  ε=0.0500
*** (avg_R=-8.05) ***
*** New best model saved: LAB5_B11017015_task3_pong_275362.pt ***
[Ep 180] R=-10.0  Steps=278176  ε=0.0500
[Train 230000] loss=0.0139
[Ep 181] R=-15.0  Steps=280691  ε=0.0500
[Ep 182] R=-8.0  Steps=283707  ε=0.0500
[Ep 183] R=-8.0  Steps=286295  ε=0.0500
[Ep 184] R=-9.0  Steps=289031  ε=0.0500
[Train 240000] loss=0.0068
[Ep 185] R= 3.0  Steps=292179  ε=0.0500
[Ep 186] R=-8.0  Steps=295269  ε=0.0500
[Ep 187] R=-6.0  Steps=298451  ε=0.0500
[Train 250000] loss=0.0012
[Ep 188] R=-14.0  Steps=300696  ε=0.0500
