Using device: cuda
[Ep 103] R=-21.0  Steps=87097  ε=0.0500
[Ep 104] R=-19.0  Steps=88094  ε=0.0500
[Ep 105] R=-19.0  Steps=89091  ε=0.0500
[Train 40000] loss=0.0153
[Ep 106] R=-20.0  Steps=90012  ε=0.0500
[Ep 107] R=-20.0  Steps=90927  ε=0.0500
[Ep 108] R=-19.0  Steps=92039  ε=0.0500
[Ep 109] R=-21.0  Steps=92950  ε=0.0500
[Ep 110] R=-21.0  Steps=93884  ε=0.0500
[Ep 111] R=-21.0  Steps=94676  ε=0.0500
[Ep 112] R=-21.0  Steps=95528  ε=0.0500
[Ep 113] R=-21.0  Steps=96412  ε=0.0500
[Ep 114] R=-20.0  Steps=97299  ε=0.0500
[Ep 115] R=-21.0  Steps=98370  ε=0.0500
[Ep 116] R=-20.0  Steps=99259  ε=0.0500
[Train 50000] loss=0.0016
[Ep 117] R=-21.0  Steps=100051  ε=0.0500
[Ep 118] R=-20.0  Steps=100972  ε=0.0500
[Ep 119] R=-21.0  Steps=101932  ε=0.0500
*** (avg_R=-20.95) ***
[Ep 120] R=-21.0  Steps=102785  ε=0.0500
[Ep 121] R=-19.0  Steps=103955  ε=0.0500
[Ep 122] R=-21.0  Steps=104895  ε=0.0500
[Ep 123] R=-20.0  Steps=105856  ε=0.0500
[Ep 124] R=-20.0  Steps=106879  ε=0.0500
[Ep 125] R=-18.0  Steps=108061  ε=0.0500
[Ep 126] R=-18.0  Steps=109270  ε=0.0500
[Train 60000] loss=0.0013
[Ep 127] R=-21.0  Steps=110354  ε=0.0500
[Ep 128] R=-20.0  Steps=111301  ε=0.0500
[Ep 129] R=-18.0  Steps=112819  ε=0.0500
[Ep 130] R=-21.0  Steps=113820  ε=0.0500
[Ep 131] R=-20.0  Steps=115132  ε=0.0500
[Ep 132] R=-20.0  Steps=116605  ε=0.0500
[Ep 133] R=-20.0  Steps=117787  ε=0.0500
[Ep 134] R=-20.0  Steps=119072  ε=0.0500
[Train 70000] loss=0.0062
[Ep 135] R=-21.0  Steps=120214  ε=0.0500
[Ep 136] R=-19.0  Steps=121465  ε=0.0500
[Ep 137] R=-18.0  Steps=123101  ε=0.0500
[Ep 138] R=-21.0  Steps=124206  ε=0.0500
[Ep 139] R=-21.0  Steps=125808  ε=0.0500
*** (avg_R=-20.45) ***
[Ep 140] R=-19.0  Steps=127077  ε=0.0500
[Ep 141] R=-21.0  Steps=128332  ε=0.0500
[Ep 142] R=-18.0  Steps=129780  ε=0.0500
[Train 80000] loss=0.0055
[Ep 143] R=-17.0  Steps=131303  ε=0.0500
[Ep 144] R=-20.0  Steps=132720  ε=0.0500
[Ep 145] R=-21.0  Steps=133899  ε=0.0500
[Ep 146] R=-21.0  Steps=135109  ε=0.0500
[Ep 147] R=-21.0  Steps=136475  ε=0.0500
[Ep 148] R=-19.0  Steps=137943  ε=0.0500
[Ep 149] R=-18.0  Steps=139525  ε=0.0500
[Train 90000] loss=0.0074
[Ep 150] R=-21.0  Steps=140516  ε=0.0500
[Ep 151] R=-20.0  Steps=141782  ε=0.0500
[Ep 152] R=-21.0  Steps=142709  ε=0.0500
[Ep 153] R=-19.0  Steps=144005  ε=0.0500
[Ep 154] R=-20.0  Steps=145266  ε=0.0500
[Ep 155] R=-20.0  Steps=146757  ε=0.0500
[Ep 156] R=-21.0  Steps=148025  ε=0.0500
[Ep 157] R=-19.0  Steps=149336  ε=0.0500
[Train 100000] loss=0.0074
[Ep 158] R=-19.0  Steps=150489  ε=0.0500
[Ep 159] R=-17.0  Steps=152315  ε=0.0500
*** (avg_R=-19.75) ***
*** New best model saved: LAB5_B11017015_task3_pong_152315.pt ***
[Ep 160] R=-18.0  Steps=153991  ε=0.0500
[Ep 161] R=-18.0  Steps=155816  ε=0.0500
[Ep 162] R=-21.0  Steps=157245  ε=0.0500
[Ep 163] R=-20.0  Steps=158920  ε=0.0500
[Train 110000] loss=0.0035
[Ep 164] R=-21.0  Steps=160480  ε=0.0500
[Ep 165] R=-17.0  Steps=162136  ε=0.0500
[Ep 166] R=-18.0  Steps=163880  ε=0.0500
[Ep 167] R=-19.0  Steps=165482  ε=0.0500
[Ep 168] R=-16.0  Steps=167261  ε=0.0500
[Ep 169] R=-18.0  Steps=169013  ε=0.0500
[Train 120000] loss=0.0044
[Ep 170] R=-20.0  Steps=170612  ε=0.0500
[Ep 171] R=-15.0  Steps=172694  ε=0.0500
[Ep 172] R=-18.0  Steps=174463  ε=0.0500
[Ep 173] R=-19.0  Steps=176126  ε=0.0500
[Ep 174] R=-17.0  Steps=177876  ε=0.0500
[Ep 175] R=-17.0  Steps=179882  ε=0.0500
[Train 130000] loss=0.0016
[Ep 176] R=-18.0  Steps=181610  ε=0.0500
[Ep 177] R=-20.0  Steps=183228  ε=0.0500
[Ep 178] R=-20.0  Steps=185046  ε=0.0500
[Ep 179] R=-17.0  Steps=186906  ε=0.0500
*** (avg_R=-18.35) ***
*** New best model saved: LAB5_B11017015_task3_pong_186906.pt ***
[Ep 180] R=-19.0  Steps=188721  ε=0.0500
[Train 140000] loss=0.0064
[Ep 181] R=-14.0  Steps=191016  ε=0.0500
[Ep 182] R=-20.0  Steps=192535  ε=0.0500
[Ep 183] R=-19.0  Steps=194298  ε=0.0500
[Ep 184] R=-17.0  Steps=196134  ε=0.0500
[Ep 185] R=-18.0  Steps=197904  ε=0.0500
[Ep 186] R=-18.0  Steps=199950  ε=0.0500
[Train 150000] loss=0.0036
[Ep 187] R=-18.0  Steps=201676  ε=0.0500
*** model saved: LAB5_B11017015_task3_pong200000.pt ***
[Ep 188] R=-18.0  Steps=203284  ε=0.0500
[Ep 189] R=-17.0  Steps=205101  ε=0.0500
[Ep 190] R=-19.0  Steps=206825  ε=0.0500
[Ep 191] R=-18.0  Steps=208501  ε=0.0500
[Train 160000] loss=0.0058
[Ep 192] R=-18.0  Steps=210246  ε=0.0500
[Ep 193] R=-15.0  Steps=212192  ε=0.0500
[Ep 194] R=-17.0  Steps=213799  ε=0.0500
[Ep 195] R=-21.0  Steps=215288  ε=0.0500
[Ep 196] R=-17.0  Steps=217315  ε=0.0500
[Ep 197] R=-16.0  Steps=219120  ε=0.0500
[Train 170000] loss=0.0011
[Ep 198] R=-15.0  Steps=220885  ε=0.0500
[Ep 199] R=-18.0  Steps=222715  ε=0.0500
*** (avg_R=-17.35) ***
*** New best model saved: LAB5_B11017015_task3_pong_222715.pt ***
[Ep 200] R=-17.0  Steps=224373  ε=0.0500
[Ep 201] R=-16.0  Steps=226139  ε=0.0500
[Ep 202] R=-18.0  Steps=227779  ε=0.0500
[Train 180000] loss=0.0035
[Ep 203] R=-16.0  Steps=230117  ε=0.0500
[Ep 204] R=-12.0  Steps=232411  ε=0.0500
[Ep 205] R=-17.0  Steps=234217  ε=0.0500
[Ep 206] R=-16.0  Steps=236044  ε=0.0500
[Ep 207] R=-15.0  Steps=237885  ε=0.0500
[Ep 208] R=-17.0  Steps=239576  ε=0.0500
[Train 190000] loss=0.0033
[Ep 209] R=-16.0  Steps=241678  ε=0.0500
[Ep 210] R=-19.0  Steps=243361  ε=0.0500
[Ep 211] R=-18.0  Steps=245193  ε=0.0500
[Ep 212] R=-15.0  Steps=247459  ε=0.0500
[Ep 213] R=-19.0  Steps=249373  ε=0.0500
[Train 200000] loss=0.0020
[Ep 214] R=-18.0  Steps=251276  ε=0.0500
[Ep 215] R=-18.0  Steps=253332  ε=0.0500
[Ep 216] R=-19.0  Steps=255223  ε=0.0500
[Ep 217] R=-17.0  Steps=257292  ε=0.0500
[Ep 218] R=-16.0  Steps=259416  ε=0.0500
[Train 210000] loss=0.0068
[Ep 219] R=-17.0  Steps=261476  ε=0.0500
*** (avg_R=-18.80) ***
[Ep 220] R=-18.0  Steps=263563  ε=0.0500
[Ep 221] R=-19.0  Steps=265452  ε=0.0500
[Ep 222] R=-19.0  Steps=267423  ε=0.0500
[Ep 223] R=-16.0  Steps=269535  ε=0.0500
[Train 220000] loss=0.0010
[Ep 224] R=-18.0  Steps=271457  ε=0.0500
[Ep 225] R=-17.0  Steps=273498  ε=0.0500
[Ep 226] R=-19.0  Steps=275681  ε=0.0500
[Ep 227] R=-21.0  Steps=277469  ε=0.0500
[Ep 228] R=-16.0  Steps=279589  ε=0.0500
[Train 230000] loss=0.0027
[Ep 229] R=-18.0  Steps=281778  ε=0.0500
[Ep 230] R=-20.0  Steps=283736  ε=0.0500
[Ep 231] R=-16.0  Steps=286059  ε=0.0500
[Ep 232] R=-16.0  Steps=288327  ε=0.0500
[Train 240000] loss=0.0031
[Ep 233] R=-21.0  Steps=290203  ε=0.0500
[Ep 234] R=-21.0  Steps=292275  ε=0.0500
[Ep 235] R=-20.0  Steps=294430  ε=0.0500
[Ep 236] R=-18.0  Steps=296596  ε=0.0500
[Ep 237] R=-17.0  Steps=298743  ε=0.0500
[Train 250000] loss=0.0097
[Ep 238] R=-19.0  Steps=300784  ε=0.0500
[Ep 239] R=-19.0  Steps=302932  ε=0.0500
Traceback (most recent call last):
  File "C:\Users\USER\Documents\vscode project\NCYU LABs\lab5\task3_gpt.py", line 342, in <module>
    agent.run()
  File "C:\Users\USER\Documents\vscode project\NCYU LABs\lab5\task3_gpt.py", line 231, in run
    avg_r = self.evaluate()
  File "C:\Users\USER\Documents\vscode project\NCYU LABs\lab5\task3_gpt.py", line 251, in evaluate
    a = self.q_net(s).argmax().item()
KeyboardInterrupt
