Initializing environment: ALE/Pong-v5
Atari detected. State shape after preprocessing: (4, 84, 84)
Using device: cuda
Building networks for state shape (4, 84, 84) and 6 actions.
Using Standard Replay Buffer (deque)
Models and logs will be saved in: ./results_task2
Step: 84025, Episode: 88, Reward: -19.00, Epsilon: 0.933
Step: 84907, Episode: 89, Reward: -21.00, Epsilon: 0.933
Step: 85882, Episode: 90, Reward: -21.00, Epsilon: 0.932
Step: 86813, Episode: 91, Reward: -20.00, Epsilon: 0.931
Step: 87665, Episode: 92, Reward: -21.00, Epsilon: 0.930
Step: 88633, Episode: 93, Reward: -21.00, Epsilon: 0.929
Step: 89503, Episode: 94, Reward: -20.00, Epsilon: 0.928
Step: 90509, Episode: 95, Reward: -21.00, Epsilon: 0.928
Step: 91441, Episode: 96, Reward: -20.00, Epsilon: 0.927
Step: 92330, Episode: 97, Reward: -20.00, Epsilon: 0.926
Step: 93257, Episode: 98, Reward: -20.00, Epsilon: 0.925
Step: 94110, Episode: 99, Reward: -21.00, Epsilon: 0.924
Step: 95175, Episode: 100, Reward: -20.00, Epsilon: 0.923
Starting evaluation for 20 episodes...
--- Evaluation Result (Ep 100, Step 95175) ---
Avg Reward over 20 episodes: -17.70 (Duration: 28.56s)
--------------------------------------------------
*** New best model saved: ./results_task2\dqn_pong_vanilla_best.pt ***
Step: 96019, Episode: 101, Reward: -21.00, Epsilon: 0.923
Step: 97035, Episode: 102, Reward: -20.00, Epsilon: 0.922
Step: 98105, Episode: 103, Reward: -20.00, Epsilon: 0.921
Step: 99080, Episode: 104, Reward: -21.00, Epsilon: 0.920
Step: 100117, Episode: 105, Reward: -20.00, Epsilon: 0.919
Step: 101231, Episode: 106, Reward: -21.00, Epsilon: 0.918
Step: 102272, Episode: 107, Reward: -20.00, Epsilon: 0.917
Step: 103156, Episode: 108, Reward: -21.00, Epsilon: 0.916
Step: 104124, Episode: 109, Reward: -19.00, Epsilon: 0.915
Step: 105262, Episode: 110, Reward: -17.00, Epsilon: 0.914
Step: 106133, Episode: 111, Reward: -21.00, Epsilon: 0.913
Step: 107102, Episode: 112, Reward: -19.00, Epsilon: 0.913
Step: 108105, Episode: 113, Reward: -19.00, Epsilon: 0.912
Step: 109065, Episode: 114, Reward: -20.00, Epsilon: 0.911
Step: 109955, Episode: 115, Reward: -21.00, Epsilon: 0.910
Step: 111007, Episode: 116, Reward: -20.00, Epsilon: 0.909
Step: 112008, Episode: 117, Reward: -21.00, Epsilon: 0.908
Step: 112893, Episode: 118, Reward: -21.00, Epsilon: 0.907
Step: 114003, Episode: 119, Reward: -20.00, Epsilon: 0.906
Step: 115023, Episode: 120, Reward: -21.00, Epsilon: 0.905
Step: 116103, Episode: 121, Reward: -20.00, Epsilon: 0.905
Step: 117156, Episode: 122, Reward: -20.00, Epsilon: 0.904
Step: 118122, Episode: 123, Reward: -19.00, Epsilon: 0.903
Step: 119172, Episode: 124, Reward: -20.00, Epsilon: 0.902
Step: 120340, Episode: 125, Reward: -18.00, Epsilon: 0.901
Step: 121601, Episode: 126, Reward: -20.00, Epsilon: 0.900
Step: 122648, Episode: 127, Reward: -20.00, Epsilon: 0.899
Step: 123528, Episode: 128, Reward: -21.00, Epsilon: 0.898
