Using device: cuda
[Ep 103] R=-21.0  Steps=94070  ε=0.6248
[Ep 104] R=-21.0  Steps=95103  ε=0.6216
[Ep 105] R=-20.0  Steps=96084  ε=0.6185
[Ep 106] R=-21.0  Steps=97048  ε=0.6155
[Ep 107] R=-21.0  Steps=97919  ε=0.6129
[Ep 108] R=-21.0  Steps=98743  ε=0.6104
[Ep 109] R=-20.0  Steps=99708  ε=0.6074
[Train 50000] loss=0.0103
[Ep 110] R=-20.0  Steps=100639  ε=0.6046
[Ep 111] R=-21.0  Steps=101603  ε=0.6017
[Ep 112] R=-21.0  Steps=102487  ε=0.5990
[Ep 113] R=-20.0  Steps=103463  ε=0.5961
[Ep 114] R=-20.0  Steps=104365  ε=0.5934
[Ep 115] R=-21.0  Steps=105217  ε=0.5909
[Ep 116] R=-21.0  Steps=106101  ε=0.5883
[Ep 117] R=-21.0  Steps=107047  ε=0.5855
[Ep 118] R=-19.0  Steps=108045  ε=0.5826
[Ep 119] R=-20.0  Steps=109107  ε=0.5795
*** (avg_R=-19.45) ***
*** New best model saved: LAB5_B11017015_task3_pong_109107.pt ***
[Train 60000] loss=0.0017
[Ep 120] R=-19.0  Steps=110417  ε=0.5757
[Ep 121] R=-19.0  Steps=111764  ε=0.5719
[Ep 122] R=-19.0  Steps=113148  ε=0.5679
[Ep 123] R=-19.0  Steps=114475  ε=0.5642
[Ep 124] R=-19.0  Steps=115629  ε=0.5609
[Ep 125] R=-17.0  Steps=117194  ε=0.5566
[Ep 126] R=-16.0  Steps=118858  ε=0.5520
[Train 70000] loss=0.0025
[Ep 127] R=-18.0  Steps=120432  ε=0.5476
[Ep 128] R=-19.0  Steps=121431  ε=0.5449
[Ep 129] R=-19.0  Steps=123025  ε=0.5406
[Ep 130] R=-16.0  Steps=124591  ε=0.5364
[Ep 131] R=-21.0  Steps=125790  ε=0.5332
[Ep 132] R=-16.0  Steps=127386  ε=0.5289
[Ep 133] R=-19.0  Steps=128767  ε=0.5253
[Ep 134] R=-20.0  Steps=129992  ε=0.5221
[Train 80000] loss=0.0060
[Ep 135] R=-20.0  Steps=131250  ε=0.5188
[Ep 136] R=-21.0  Steps=132556  ε=0.5154
[Ep 137] R=-20.0  Steps=133535  ε=0.5129
[Ep 138] R=-20.0  Steps=134893  ε=0.5094
[Ep 139] R=-19.0  Steps=136268  ε=0.5059
*** (avg_R=-18.45) ***
*** New best model saved: LAB5_B11017015_task3_pong_136268.pt ***
[Ep 140] R=-19.0  Steps=137826  ε=0.5020
[Ep 141] R=-18.0  Steps=139733  ε=0.4972
[Train 90000] loss=0.0084
[Ep 142] R=-15.0  Steps=141512  ε=0.4928
[Ep 143] R=-20.0  Steps=142794  ε=0.4897
[Ep 144] R=-18.0  Steps=144731  ε=0.4850
[Ep 145] R=-16.0  Steps=146320  ε=0.4811
[Ep 146] R=-20.0  Steps=147739  ε=0.4777
[Ep 147] R=-17.0  Steps=149369  ε=0.4739
[Train 100000] loss=0.0050
[Ep 148] R=-20.0  Steps=150842  ε=0.4704
[Ep 149] R=-16.0  Steps=152587  ε=0.4663
[Ep 150] R=-16.0  Steps=154708  ε=0.4614
[Ep 151] R=-19.0  Steps=156431  ε=0.4574
[Ep 152] R=-16.0  Steps=158272  ε=0.4532
[Train 110000] loss=0.0071
[Ep 153] R=-17.0  Steps=160144  ε=0.4490
[Ep 154] R=-19.0  Steps=161485  ε=0.4460
[Ep 155] R=-17.0  Steps=163140  ε=0.4423
[Ep 156] R=-16.0  Steps=164993  ε=0.4382
[Ep 157] R=-17.0  Steps=166714  ε=0.4345
[Ep 158] R=-16.0  Steps=168431  ε=0.4308
[Train 120000] loss=0.0089
[Ep 159] R=-16.0  Steps=170043  ε=0.4273
