Initializing environment: ALE/Pong-v5
Atari detected. State shape after preprocessing: (4, 84, 84)
Using device: cuda
Building networks for state shape (4, 84, 84) and 6 actions.
Using Standard Replay Buffer (deque)
Models and logs will be saved in: ./results_task2
Step: 84864, Episode: 88, Reward: -20.00, Epsilon: 0.933
Step: 85884, Episode: 89, Reward: -20.00, Epsilon: 0.932
Step: 87031, Episode: 90, Reward: -19.00, Epsilon: 0.931
Step: 88123, Episode: 91, Reward: -21.00, Epsilon: 0.930
Step: 89332, Episode: 92, Reward: -20.00, Epsilon: 0.929
Step: 90124, Episode: 93, Reward: -21.00, Epsilon: 0.928
Step: 91006, Episode: 94, Reward: -21.00, Epsilon: 0.927
Step: 92008, Episode: 95, Reward: -21.00, Epsilon: 0.926
Step: 92856, Episode: 96, Reward: -21.00, Epsilon: 0.925
Step: 93850, Episode: 97, Reward: -19.00, Epsilon: 0.925
Step: 94966, Episode: 98, Reward: -19.00, Epsilon: 0.924
Step: 96086, Episode: 99, Reward: -19.00, Epsilon: 0.923
Step: 97048, Episode: 100, Reward: -21.00, Epsilon: 0.922
Starting evaluation for 20 episodes...
--- Evaluation Result (Ep 100, Step 97048) ---
Avg Reward over 20 episodes: -15.45 (Duration: 39.09s)
--------------------------------------------------
*** New best model saved: ./results_task2\dqn_pong_vanilla_best.pt ***
Step: 97902, Episode: 101, Reward: -21.00, Epsilon: 0.921
Step: 98845, Episode: 102, Reward: -21.00, Epsilon: 0.920
Step: 99637, Episode: 103, Reward: -21.00, Epsilon: 0.919
Step: 100551, Episode: 104, Reward: -21.00, Epsilon: 0.919
Step: 101537, Episode: 105, Reward: -20.00, Epsilon: 0.918
Step: 102500, Episode: 106, Reward: -20.00, Epsilon: 0.917
Step: 103371, Episode: 107, Reward: -20.00, Epsilon: 0.916
Step: 104182, Episode: 108, Reward: -21.00, Epsilon: 0.915
Step: 105211, Episode: 109, Reward: -20.00, Epsilon: 0.914
Step: 106283, Episode: 110, Reward: -21.00, Epsilon: 0.913
Step: 107246, Episode: 111, Reward: -20.00, Epsilon: 0.912
Step: 108209, Episode: 112, Reward: -20.00, Epsilon: 0.912
Step: 109117, Episode: 113, Reward: -21.00, Epsilon: 0.911
Step: 110105, Episode: 114, Reward: -21.00, Epsilon: 0.910
Step: 111086, Episode: 115, Reward: -19.00, Epsilon: 0.909
Step: 112087, Episode: 116, Reward: -21.00, Epsilon: 0.908
Step: 112999, Episode: 117, Reward: -21.00, Epsilon: 0.907
Step: 114021, Episode: 118, Reward: -20.00, Epsilon: 0.906
Step: 115157, Episode: 119, Reward: -20.00, Epsilon: 0.905
Step: 115949, Episode: 120, Reward: -21.00, Epsilon: 0.905
Step: 117056, Episode: 121, Reward: -19.00, Epsilon: 0.904
Step: 118163, Episode: 122, Reward: -20.00, Epsilon: 0.903
Step: 119227, Episode: 123, Reward: -20.00, Epsilon: 0.902
Step: 120075, Episode: 124, Reward: -21.00, Epsilon: 0.901
Step: 120915, Episode: 125, Reward: -21.00, Epsilon: 0.900
Step: 121926, Episode: 126, Reward: -20.00, Epsilon: 0.899
Step: 122870, Episode: 127, Reward: -21.00, Epsilon: 0.898
Step: 123858, Episode: 128, Reward: -20.00, Epsilon: 0.898
Step: 124678, Episode: 129, Reward: -21.00, Epsilon: 0.897
Step: 125805, Episode: 130, Reward: -18.00, Epsilon: 0.896
Step: 127097, Episode: 131, Reward: -17.00, Epsilon: 0.895
Step: 127949, Episode: 132, Reward: -21.00, Epsilon: 0.894
Step: 128847, Episode: 133, Reward: -21.00, Epsilon: 0.893
Step: 129639, Episode: 134, Reward: -21.00, Epsilon: 0.892
Step: 130736, Episode: 135, Reward: -20.00, Epsilon: 0.891
Step: 131744, Episode: 136, Reward: -19.00, Epsilon: 0.890
Step: 132888, Episode: 137, Reward: -19.00, Epsilon: 0.889
Step: 133775, Episode: 138, Reward: -20.00, Epsilon: 0.889
Step: 134719, Episode: 139, Reward: -21.00, Epsilon: 0.888
Step: 135789, Episode: 140, Reward: -20.00, Epsilon: 0.887
Step: 136883, Episode: 141, Reward: -20.00, Epsilon: 0.886
Step: 137874, Episode: 142, Reward: -20.00, Epsilon: 0.885
Step: 138814, Episode: 143, Reward: -21.00, Epsilon: 0.884
Step: 139873, Episode: 144, Reward: -20.00, Epsilon: 0.883
Step: 140723, Episode: 145, Reward: -21.00, Epsilon: 0.882
Step: 141742, Episode: 146, Reward: -20.00, Epsilon: 0.881
Step: 142640, Episode: 147, Reward: -20.00, Epsilon: 0.881
Step: 143524, Episode: 148, Reward: -21.00, Epsilon: 0.880
Step: 144378, Episode: 149, Reward: -21.00, Epsilon: 0.879
Step: 145359, Episode: 150, Reward: -20.00, Epsilon: 0.878
Starting evaluation for 20 episodes...
--- Evaluation Result (Ep 150, Step 145359) ---
Avg Reward over 20 episodes: -16.25 (Duration: 31.63s)
--------------------------------------------------
Step: 146183, Episode: 151, Reward: -21.00, Epsilon: 0.877
Step: 147160, Episode: 152, Reward: -20.00, Epsilon: 0.877
Step: 148277, Episode: 153, Reward: -19.00, Epsilon: 0.876
Step: 149296, Episode: 154, Reward: -21.00, Epsilon: 0.875
Step: 150343, Episode: 155, Reward: -20.00, Epsilon: 0.874
Step: 151525, Episode: 156, Reward: -18.00, Epsilon: 0.873
Step: 152497, Episode: 157, Reward: -21.00, Epsilon: 0.872
Step: 153479, Episode: 158, Reward: -20.00, Epsilon: 0.871
Step: 154538, Episode: 159, Reward: -18.00, Epsilon: 0.870
Step: 155698, Episode: 160, Reward: -19.00, Epsilon: 0.869
Step: 156971, Episode: 161, Reward: -17.00, Epsilon: 0.868
Step: 158164, Episode: 162, Reward: -19.00, Epsilon: 0.867
Step: 159096, Episode: 163, Reward: -20.00, Epsilon: 0.866
Step: 160124, Episode: 164, Reward: -20.00, Epsilon: 0.865
Step: 161191, Episode: 165, Reward: -20.00, Epsilon: 0.864
Step: 162166, Episode: 166, Reward: -20.00, Epsilon: 0.863
Step: 163083, Episode: 167, Reward: -20.00, Epsilon: 0.862
Step: 164121, Episode: 168, Reward: -19.00, Epsilon: 0.861
Step: 165003, Episode: 169, Reward: -21.00, Epsilon: 0.860
Step: 166028, Episode: 170, Reward: -21.00, Epsilon: 0.860
Step: 167001, Episode: 171, Reward: -20.00, Epsilon: 0.859
Step: 168133, Episode: 172, Reward: -18.00, Epsilon: 0.858
Step: 168897, Episode: 173, Reward: -21.00, Epsilon: 0.857
Step: 169929, Episode: 174, Reward: -19.00, Epsilon: 0.856
Step: 171034, Episode: 175, Reward: -19.00, Epsilon: 0.855
Step: 172236, Episode: 176, Reward: -18.00, Epsilon: 0.854
Step: 173118, Episode: 177, Reward: -21.00, Epsilon: 0.853
Step: 174218, Episode: 178, Reward: -19.00, Epsilon: 0.852
Step: 175066, Episode: 179, Reward: -21.00, Epsilon: 0.851
Step: 175830, Episode: 180, Reward: -21.00, Epsilon: 0.851
Step: 177133, Episode: 181, Reward: -19.00, Epsilon: 0.850
Step: 178077, Episode: 182, Reward: -21.00, Epsilon: 0.849
Step: 179039, Episode: 183, Reward: -21.00, Epsilon: 0.848
Step: 179892, Episode: 184, Reward: -21.00, Epsilon: 0.847
Step: 181009, Episode: 185, Reward: -19.00, Epsilon: 0.846
Step: 181952, Episode: 186, Reward: -20.00, Epsilon: 0.845
Step: 182744, Episode: 187, Reward: -21.00, Epsilon: 0.845
Step: 184064, Episode: 188, Reward: -18.00, Epsilon: 0.843
Step: 184875, Episode: 189, Reward: -21.00, Epsilon: 0.843
Step: 185955, Episode: 190, Reward: -20.00, Epsilon: 0.842
Step: 187040, Episode: 191, Reward: -20.00, Epsilon: 0.841
Step: 187992, Episode: 192, Reward: -20.00, Epsilon: 0.840
Step: 189105, Episode: 193, Reward: -20.00, Epsilon: 0.839
Step: 190018, Episode: 194, Reward: -21.00, Epsilon: 0.838
Step: 191142, Episode: 195, Reward: -19.00, Epsilon: 0.837
Step: 192252, Episode: 196, Reward: -19.00, Epsilon: 0.836
Step: 193252, Episode: 197, Reward: -19.00, Epsilon: 0.835
Step: 194279, Episode: 198, Reward: -21.00, Epsilon: 0.834
Step: 195326, Episode: 199, Reward: -20.00, Epsilon: 0.833
