Initializing environment: ALE/Pong-v5
Atari detected. State shape after preprocessing: (4, 84, 84)
Using device: cuda
Building networks for state shape (4, 84, 84) and 6 actions.
Using Prioritized Replay Buffer
Models and logs will be saved in: ./results_task3
Step: 86516, Episode: 87, Reward: -18.00, Epsilon: 0.697
Step: 87618, Episode: 88, Reward: -20.00, Epsilon: 0.693
Step: 88605, Episode: 89, Reward: -21.00, Epsilon: 0.689
Step: 89853, Episode: 90, Reward: -18.00, Epsilon: 0.684
Step: 90943, Episode: 91, Reward: -20.00, Epsilon: 0.679
Step: 92379, Episode: 92, Reward: -18.00, Epsilon: 0.674
Step: 93510, Episode: 93, Reward: -20.00, Epsilon: 0.669
Step: 94519, Episode: 94, Reward: -20.00, Epsilon: 0.665
Step: 95892, Episode: 95, Reward: -18.00, Epsilon: 0.660
Step: 97129, Episode: 96, Reward: -18.00, Epsilon: 0.655
Step: 98359, Episode: 97, Reward: -20.00, Epsilon: 0.650
Step: 100016, Episode: 98, Reward: -18.00, Epsilon: 0.644
Step: 101634, Episode: 99, Reward: -16.00, Epsilon: 0.637
Step: 102933, Episode: 100, Reward: -19.00, Epsilon: 0.632
Starting evaluation for 20 episodes...
--- Evaluation Result (Ep 100, Step 102933) ---
Avg Reward over 20 episodes: -15.65 (Duration: 32.88s)
--------------------------------------------------
*** New best model saved: ./results_task3\dqn_pong_enhanced_ddqnTrue_perTrue_multiTrue_n3_best.pt ***
Step: 104540, Episode: 101, Reward: -18.00, Epsilon: 0.626
Step: 105944, Episode: 102, Reward: -18.00, Epsilon: 0.620
Step: 107275, Episode: 103, Reward: -19.00, Epsilon: 0.615
Step: 108623, Episode: 104, Reward: -17.00, Epsilon: 0.609
Step: 110427, Episode: 105, Reward: -17.00, Epsilon: 0.602
Step: 111789, Episode: 106, Reward: -17.00, Epsilon: 0.597
Step: 113197, Episode: 107, Reward: -17.00, Epsilon: 0.591
Step: 114729, Episode: 108, Reward: -17.00, Epsilon: 0.585
Step: 116316, Episode: 109, Reward: -15.00, Epsilon: 0.579
Step: 117420, Episode: 110, Reward: -19.00, Epsilon: 0.575
Step: 119059, Episode: 111, Reward: -18.00, Epsilon: 0.568
Step: 120614, Episode: 112, Reward: -16.00, Epsilon: 0.562
Step: 122140, Episode: 113, Reward: -19.00, Epsilon: 0.556
Step: 123629, Episode: 114, Reward: -18.00, Epsilon: 0.550
Step: 125516, Episode: 115, Reward: -13.00, Epsilon: 0.543
Step: 127073, Episode: 116, Reward: -16.00, Epsilon: 0.536
Step: 128755, Episode: 117, Reward: -16.00, Epsilon: 0.530
Step: 130068, Episode: 118, Reward: -20.00, Epsilon: 0.525
Step: 131780, Episode: 119, Reward: -18.00, Epsilon: 0.518
Step: 133156, Episode: 120, Reward: -17.00, Epsilon: 0.512
Step: 134725, Episode: 121, Reward: -17.00, Epsilon: 0.506
Step: 136144, Episode: 122, Reward: -17.00, Epsilon: 0.500
Step: 137768, Episode: 123, Reward: -16.00, Epsilon: 0.494
Step: 139665, Episode: 124, Reward: -16.00, Epsilon: 0.487
Step: 141044, Episode: 125, Reward: -20.00, Epsilon: 0.481
Step: 142530, Episode: 126, Reward: -19.00, Epsilon: 0.475
Step: 144417, Episode: 127, Reward: -18.00, Epsilon: 0.468
Step: 146377, Episode: 128, Reward: -16.00, Epsilon: 0.460
Step: 147803, Episode: 129, Reward: -18.00, Epsilon: 0.454
Step: 149538, Episode: 130, Reward: -15.00, Epsilon: 0.447
Step: 151663, Episode: 131, Reward: -16.00, Epsilon: 0.439
Step: 153430, Episode: 132, Reward: -16.00, Epsilon: 0.432
Step: 155269, Episode: 133, Reward: -17.00, Epsilon: 0.425
Step: 157350, Episode: 134, Reward: -14.00, Epsilon: 0.416
Step: 159438, Episode: 135, Reward: -14.00, Epsilon: 0.408
Step: 161492, Episode: 136, Reward: -15.00, Epsilon: 0.400
Step: 163203, Episode: 137, Reward: -17.00, Epsilon: 0.393
Step: 165023, Episode: 138, Reward: -16.00, Epsilon: 0.386
Step: 167052, Episode: 139, Reward: -14.00, Epsilon: 0.378
Step: 169257, Episode: 140, Reward: -15.00, Epsilon: 0.369
Step: 171412, Episode: 141, Reward: -12.00, Epsilon: 0.361
Step: 173496, Episode: 142, Reward: -12.00, Epsilon: 0.353
Step: 175482, Episode: 143, Reward: -15.00, Epsilon: 0.345
Step: 177429, Episode: 144, Reward: -15.00, Epsilon: 0.337
Step: 179174, Episode: 145, Reward: -18.00, Epsilon: 0.330
Step: 181136, Episode: 146, Reward: -13.00, Epsilon: 0.322
Step: 182969, Episode: 147, Reward: -14.00, Epsilon: 0.315
Step: 185113, Episode: 148, Reward: -15.00, Epsilon: 0.307
Step: 187374, Episode: 149, Reward: -17.00, Epsilon: 0.298
Step: 189434, Episode: 150, Reward: -18.00, Epsilon: 0.289
Starting evaluation for 20 episodes...
--- Evaluation Result (Ep 150, Step 189434) ---
